price,quantity,type,timestamp
29697000,0.0617,0,2022-11-06 13:27:12.741
29696000,0.0509,0,2022-11-06 13:27:12.741
29706000,0.0636,1,2022-11-06 13:27:12.741
29707000,0.0147,1,2022-11-06 13:27:12.741
29708000,0.0389,1,2022-11-06 13:27:12.741
29710000,0.1558,1,2022-11-06 13:27:12.741
29711000,0.0519,1,2022-11-06 13:27:12.741
29701000,0.0442,0,2022-11-06 13:27:13.671
29699000,0.2619,0,2022-11-06 13:27:13.671
29698000,0.0894,0,2022-11-06 13:27:13.671
29697000,0.0617,0,2022-11-06 13:27:13.671
29696000,0.0509,0,2022-11-06 13:27:13.671
29706000,0.0636,1,2022-11-06 13:27:13.671
29707000,0.0147,1,2022-11-06 13:27:13.671
29708000,0.0389,1,2022-11-06 13:27:13.671
29710000,0.1558,1,2022-11-06 13:27:13.671
29711000,0.0519,1,2022-11-06 13:27:13.671
29701000,0.0442,0,2022-11-06 13:27:14.611
29699000,0.2619,0,2022-11-06 13:27:14.611
29698000,0.0894,0,2022-11-06 13:27:14.611
29697000,0.0617,0,2022-11-06 13:27:14.611
29696000,0.0509,0,2022-11-06 13:27:14.611
29706000,0.0636,1,2022-11-06 13:27:14.611
29707000,0.0147,1,2022-11-06 13:27:14.611
29708000,0.0389,1,2022-11-06 13:27:14.611
29710000,0.1558,1,2022-11-06 13:27:14.611
29711000,0.0519,1,2022-11-06 13:27:14.611
29701000,0.0442,0,2022-11-06 13:27:15.704
29699000,0.2619,0,2022-11-06 13:27:15.704
29698000,0.0894,0,2022-11-06 13:27:15.704
29697000,0.0617,0,2022-11-06 13:27:15.704
29696000,0.0509,0,2022-11-06 13:27:15.704
29706000,0.0636,1,2022-11-06 13:27:15.704
29707000,0.0147,1,2022-11-06 13:27:15.704
29708000,0.0389,1,2022-11-06 13:27:15.704
29710000,0.1558,1,2022-11-06 13:27:15.704
29711000,0.0519,1,2022-11-06 13:27:15.704
29701000,0.0442,0,2022-11-06 13:27:17.634
29699000,0.2619,0,2022-11-06 13:27:17.634
29698000,0.0894,0,2022-11-06 13:27:17.634
29697000,0.0617,0,2022-11-06 13:27:17.634
29696000,0.0509,0,2022-11-06 13:27:17.634
29706000,0.0636,1,2022-11-06 13:27:17.634
29707000,0.0147,1,2022-11-06 13:27:17.634
29708000,0.0389,1,2022-11-06 13:27:17.634
29710000,0.1558,1,2022-11-06 13:27:17.634
29711000,0.0519,1,2022-11-06 13:27:17.634
29699000,0.0441,0,2022-11-06 13:28:06.677
29696000,0.0615,0,2022-11-06 13:28:06.677
29695000,0.4709,0,2022-11-06 13:28:06.677
29694000,0.0546,0,2022-11-06 13:28:06.677
29692000,0.1248,0,2022-11-06 13:28:06.677
29704000,0.0842,1,2022-11-06 13:28:06.677
29705000,0.0491,1,2022-11-06 13:28:06.677
29706000,0.1525,1,2022-11-06 13:28:06.677
29707000,0.0147,1,2022-11-06 13:28:06.677
29708000,0.1283,1,2022-11-06 13:28:06.677
29699000,0.0441,0,2022-11-06 13:28:08.613
29696000,0.0615,0,2022-11-06 13:28:08.613
29695000,0.5119,0,2022-11-06 13:28:08.613
29694000,0.0546,0,2022-11-06 13:28:08.613
29692000,0.1739,0,2022-11-06 13:28:08.613
29704000,0.0842,1,2022-11-06 13:28:08.613
29706000,0.1525,1,2022-11-06 13:28:08.613
29707000,0.0147,1,2022-11-06 13:28:08.613
29708000,0.1283,1,2022-11-06 13:28:08.613
29709000,0.388,1,2022-11-06 13:28:08.613
29699000,0.0441,0,2022-11-06 13:28:09.647
29696000,0.0615,0,2022-11-06 13:28:09.647
29695000,0.5119,0,2022-11-06 13:28:09.647
29694000,0.0546,0,2022-11-06 13:28:09.647
29692000,0.1739,0,2022-11-06 13:28:09.647
29704000,0.0842,1,2022-11-06 13:28:09.647
29706000,0.2036,1,2022-11-06 13:28:09.647
29707000,0.0147,1,2022-11-06 13:28:09.647
29708000,0.1283,1,2022-11-06 13:28:09.647
29709000,0.388,1,2022-11-06 13:28:09.647
29699000,0.0441,0,2022-11-06 13:28:10.708
29696000,0.0615,0,2022-11-06 13:28:10.708
29695000,0.5119,0,2022-11-06 13:28:10.708
29694000,0.0546,0,2022-11-06 13:28:10.708
29692000,0.1739,0,2022-11-06 13:28:10.708
29704000,0.0842,1,2022-11-06 13:28:10.708
29706000,0.2036,1,2022-11-06 13:28:10.708
29707000,0.0147,1,2022-11-06 13:28:10.708
29708000,0.1283,1,2022-11-06 13:28:10.708
29709000,0.388,1,2022-11-06 13:28:10.708
29699000,0.0441,0,2022-11-06 13:28:11.582
29696000,0.0615,0,2022-11-06 13:28:11.582
29695000,0.5119,0,2022-11-06 13:28:11.582
29694000,0.0546,0,2022-11-06 13:28:11.582
29692000,0.1739,0,2022-11-06 13:28:11.582
29704000,0.0842,1,2022-11-06 13:28:11.582
29706000,0.2036,1,2022-11-06 13:28:11.582
29707000,0.0147,1,2022-11-06 13:28:11.582
29708000,0.1283,1,2022-11-06 13:28:11.582
29709000,0.388,1,2022-11-06 13:28:11.582
29699000,0.0441,0,2022-11-06 13:28:12.602
29696000,0.0615,0,2022-11-06 13:28:12.602
29695000,0.5119,0,2022-11-06 13:28:12.602
29694000,0.0546,0,2022-11-06 13:28:12.602
29692000,0.1739,0,2022-11-06 13:28:12.602
29704000,0.0842,1,2022-11-06 13:28:12.602
29706000,0.2036,1,2022-11-06 13:28:12.602
29707000,0.0147,1,2022-11-06 13:28:12.602
29708000,0.1283,1,2022-11-06 13:28:12.602
29709000,0.388,1,2022-11-06 13:28:12.602
29699000,0.0441,0,2022-11-06 13:28:13.789
29696000,0.0615,0,2022-11-06 13:28:13.789
29695000,0.5119,0,2022-11-06 13:28:13.789
29694000,0.0546,0,2022-11-06 13:28:13.789
29692000,0.1739,0,2022-11-06 13:28:13.789
29704000,0.0842,1,2022-11-06 13:28:13.789
29706000,0.2036,1,2022-11-06 13:28:13.789
29707000,0.0147,1,2022-11-06 13:28:13.789
29708000,0.1283,1,2022-11-06 13:28:13.789
29709000,0.388,1,2022-11-06 13:28:13.789
29699000,0.0442,0,2022-11-06 13:28:15.533
29696000,0.0615,0,2022-11-06 13:28:15.533
29695000,0.5119,0,2022-11-06 13:28:15.533
29694000,0.0546,0,2022-11-06 13:28:15.533
29692000,0.1739,0,2022-11-06 13:28:15.533
29704000,0.0842,1,2022-11-06 13:28:15.533
29706000,0.2036,1,2022-11-06 13:28:15.533
29707000,0.0147,1,2022-11-06 13:28:15.533
29708000,0.1283,1,2022-11-06 13:28:15.533
29709000,0.388,1,2022-11-06 13:28:15.533
29699000,0.0442,0,2022-11-06 13:28:16.611
29696000,0.0615,0,2022-11-06 13:28:16.611
29695000,0.5119,0,2022-11-06 13:28:16.611
29694000,0.0546,0,2022-11-06 13:28:16.611
29692000,0.1739,0,2022-11-06 13:28:16.611
29704000,0.0842,1,2022-11-06 13:28:16.611
29706000,0.2036,1,2022-11-06 13:28:16.611
29707000,0.0147,1,2022-11-06 13:28:16.611
29708000,0.1283,1,2022-11-06 13:28:16.611
29709000,0.388,1,2022-11-06 13:28:16.611
29699000,0.0442,0,2022-11-06 13:28:17.614
29696000,0.0615,0,2022-11-06 13:28:17.614
29695000,0.5119,0,2022-11-06 13:28:17.614
29694000,0.0546,0,2022-11-06 13:28:17.614
29692000,0.1342,0,2022-11-06 13:28:17.614
29706000,0.1525,1,2022-11-06 13:28:17.614
29707000,0.0147,1,2022-11-06 13:28:17.614
29708000,0.1283,1,2022-11-06 13:28:17.614
29709000,0.388,1,2022-11-06 13:28:17.614
29710000,0.1069,1,2022-11-06 13:28:17.614
29699000,0.0442,0,2022-11-06 13:28:18.761
29696000,0.0615,0,2022-11-06 13:28:18.761
29695000,0.5119,0,2022-11-06 13:28:18.761
29694000,0.0546,0,2022-11-06 13:28:18.761
29692000,0.1342,0,2022-11-06 13:28:18.761
29706000,0.1525,1,2022-11-06 13:28:18.761
29707000,0.0147,1,2022-11-06 13:28:18.761
29708000,0.1283,1,2022-11-06 13:28:18.761
29709000,0.388,1,2022-11-06 13:28:18.761
29710000,0.1069,1,2022-11-06 13:28:18.761
29699000,0.0442,0,2022-11-06 13:28:19.605
29696000,0.0615,0,2022-11-06 13:28:19.605
29695000,0.5119,0,2022-11-06 13:28:19.605
29694000,0.0546,0,2022-11-06 13:28:19.605
29692000,0.1342,0,2022-11-06 13:28:19.605
29706000,0.1525,1,2022-11-06 13:28:19.605
29707000,0.0147,1,2022-11-06 13:28:19.605
29708000,0.1283,1,2022-11-06 13:28:19.605
29709000,0.388,1,2022-11-06 13:28:19.605
29710000,0.1069,1,2022-11-06 13:28:19.605
29699000,0.0442,0,2022-11-06 13:28:20.699
29696000,0.0615,0,2022-11-06 13:28:20.699
29695000,0.5119,0,2022-11-06 13:28:20.699
29694000,0.0546,0,2022-11-06 13:28:20.699
29692000,0.1342,0,2022-11-06 13:28:20.699
29706000,0.1525,1,2022-11-06 13:28:20.699
29707000,0.0147,1,2022-11-06 13:28:20.699
29708000,0.1283,1,2022-11-06 13:28:20.699
29709000,0.388,1,2022-11-06 13:28:20.699
29710000,0.1069,1,2022-11-06 13:28:20.699
29699000,0.0442,0,2022-11-06 13:28:21.689
29696000,0.0615,0,2022-11-06 13:28:21.689
29695000,0.5119,0,2022-11-06 13:28:21.689
29694000,0.0546,0,2022-11-06 13:28:21.689
29692000,0.1342,0,2022-11-06 13:28:21.689
29706000,0.1525,1,2022-11-06 13:28:21.689
29707000,0.0147,1,2022-11-06 13:28:21.689
29708000,0.1283,1,2022-11-06 13:28:21.689
29709000,0.388,1,2022-11-06 13:28:21.689
29710000,0.1069,1,2022-11-06 13:28:21.689
29699000,0.0442,0,2022-11-06 13:28:22.852
29696000,0.0615,0,2022-11-06 13:28:22.852
29695000,0.5119,0,2022-11-06 13:28:22.852
29694000,0.0546,0,2022-11-06 13:28:22.852
29692000,0.1342,0,2022-11-06 13:28:22.852
29706000,0.1525,1,2022-11-06 13:28:22.852
29707000,0.0147,1,2022-11-06 13:28:22.852
29708000,0.1283,1,2022-11-06 13:28:22.852
29709000,0.388,1,2022-11-06 13:28:22.852
29710000,0.1069,1,2022-11-06 13:28:22.852
29661000,0.0689,0,2022-11-06 15:16:25.757
29660000,0.0852,0,2022-11-06 15:16:25.757
29658000,0.0399,0,2022-11-06 15:16:25.757
29657000,0.512,0,2022-11-06 15:16:25.757
29656000,0.0875,0,2022-11-06 15:16:25.757
29668000,0.6749,1,2022-11-06 15:16:25.757
29669000,0.0206,1,2022-11-06 15:16:25.757
29670000,0.1774,1,2022-11-06 15:16:25.757
29671000,0.0082,1,2022-11-06 15:16:25.757
29672000,0.1709,1,2022-11-06 15:16:25.757
29661000,0.0689,0,2022-11-06 15:16:27.769
29660000,0.0852,0,2022-11-06 15:16:27.769
29658000,0.0399,0,2022-11-06 15:16:27.769
29657000,0.512,0,2022-11-06 15:16:27.769
29656000,0.0875,0,2022-11-06 15:16:27.769
29668000,0.6749,1,2022-11-06 15:16:27.769
29669000,0.0206,1,2022-11-06 15:16:27.769
29670000,0.1774,1,2022-11-06 15:16:27.769
29671000,0.0082,1,2022-11-06 15:16:27.769
29672000,0.1709,1,2022-11-06 15:16:27.769
29661000,0.0689,0,2022-11-06 15:16:28.764
29660000,0.0852,0,2022-11-06 15:16:28.764
29658000,0.0399,0,2022-11-06 15:16:28.764
29657000,0.512,0,2022-11-06 15:16:28.764
29656000,0.0875,0,2022-11-06 15:16:28.764
29668000,0.6749,1,2022-11-06 15:16:28.764
29669000,0.0206,1,2022-11-06 15:16:28.764
29670000,0.1774,1,2022-11-06 15:16:28.764
29671000,0.0082,1,2022-11-06 15:16:28.764
29672000,0.1709,1,2022-11-06 15:16:28.764
29661000,0.0689,0,2022-11-06 15:16:29.605
29660000,0.0852,0,2022-11-06 15:16:29.605
29658000,0.0399,0,2022-11-06 15:16:29.605
29657000,0.512,0,2022-11-06 15:16:29.605
29656000,0.0875,0,2022-11-06 15:16:29.605
29668000,0.6749,1,2022-11-06 15:16:29.605
29669000,0.0206,1,2022-11-06 15:16:29.605
29670000,0.1774,1,2022-11-06 15:16:29.605
29671000,0.0082,1,2022-11-06 15:16:29.605
29672000,0.1709,1,2022-11-06 15:16:29.605
29661000,0.0689,0,2022-11-06 15:16:30.693
29660000,0.0852,0,2022-11-06 15:16:30.693
29658000,0.0399,0,2022-11-06 15:16:30.693
29657000,0.512,0,2022-11-06 15:16:30.693
29656000,0.0875,0,2022-11-06 15:16:30.693
29668000,0.6749,1,2022-11-06 15:16:30.693
29669000,0.0206,1,2022-11-06 15:16:30.693
29670000,0.1774,1,2022-11-06 15:16:30.693
29671000,0.0082,1,2022-11-06 15:16:30.693
29672000,0.1709,1,2022-11-06 15:16:30.693
29660000,0.0845,0,2022-11-06 15:18:50.650
29659000,0.0486,0,2022-11-06 15:18:50.650
29658000,0.1053,0,2022-11-06 15:18:50.650
29657000,0.0521,0,2022-11-06 15:18:50.650
29656000,0.1277,0,2022-11-06 15:18:50.650
29668000,0.0645,1,2022-11-06 15:18:50.650
29669000,0.1358,1,2022-11-06 15:18:50.650
29670000,0.135,1,2022-11-06 15:18:50.650
29671000,0.0082,1,2022-11-06 15:18:50.650
29672000,0.1687,1,2022-11-06 15:18:50.650
29661000,0.0119,0,2022-11-06 15:18:51.662
29660000,0.0845,0,2022-11-06 15:18:51.662
29659000,0.0866,0,2022-11-06 15:18:51.662
29658000,0.1553,0,2022-11-06 15:18:51.662
29657000,0.0521,0,2022-11-06 15:18:51.662
29668000,0.0645,1,2022-11-06 15:18:51.662
29669000,0.1358,1,2022-11-06 15:18:51.662
29670000,0.135,1,2022-11-06 15:18:51.662
29671000,0.0082,1,2022-11-06 15:18:51.662
29672000,0.1197,1,2022-11-06 15:18:51.662
29661000,0.0119,0,2022-11-06 15:18:52.846
29660000,0.0845,0,2022-11-06 15:18:52.846
29659000,0.0866,0,2022-11-06 15:18:52.846
29658000,0.1393,0,2022-11-06 15:18:52.846
29656000,0.0875,0,2022-11-06 15:18:52.846
29669000,0.1358,1,2022-11-06 15:18:52.846
29670000,0.135,1,2022-11-06 15:18:52.846
29671000,0.0082,1,2022-11-06 15:18:52.846
29672000,0.1197,1,2022-11-06 15:18:52.846
29673000,0.0524,1,2022-11-06 15:18:52.846
29661000,0.0119,0,2022-11-06 15:18:53.594
29660000,0.0845,0,2022-11-06 15:18:53.594
29659000,0.0866,0,2022-11-06 15:18:53.594
29658000,0.1393,0,2022-11-06 15:18:53.594
29656000,0.0875,0,2022-11-06 15:18:53.594
29669000,0.1358,1,2022-11-06 15:18:53.594
29670000,0.135,1,2022-11-06 15:18:53.594
29671000,0.0082,1,2022-11-06 15:18:53.594
29672000,0.1197,1,2022-11-06 15:18:53.594
29673000,0.0524,1,2022-11-06 15:18:53.594
29666000,0.0433,0,2022-11-06 15:25:28.762
29665000,0.0396,0,2022-11-06 15:25:28.762
29664000,0.1059,0,2022-11-06 15:25:28.762
29663000,0.2855,0,2022-11-06 15:25:28.762
29661000,0.0476,0,2022-11-06 15:25:28.762
29675000,0.05426302,1,2022-11-06 15:25:28.762
29677000,0.0838,1,2022-11-06 15:25:28.762
29678000,0.0312,1,2022-11-06 15:25:28.762
29679000,0.0858,1,2022-11-06 15:25:28.762
29680000,0.7834,1,2022-11-06 15:25:28.762
29668000,0.0396,0,2022-11-06 15:25:29.675
29666000,0.1411,0,2022-11-06 15:25:29.675
29665000,0.0396,0,2022-11-06 15:25:29.675
29664000,0.1059,0,2022-11-06 15:25:29.675
29663000,0.6471,0,2022-11-06 15:25:29.675
29678000,0.0312,1,2022-11-06 15:25:29.675
29679000,0.0858,1,2022-11-06 15:25:29.675
29680000,0.7289,1,2022-11-06 15:25:29.675
29681000,0.0503,1,2022-11-06 15:25:29.675
29682000,0.4364,1,2022-11-06 15:25:29.675
29668000,0.1273,0,2022-11-06 15:25:30.645
29667000,0.0631,0,2022-11-06 15:25:30.645
29666000,0.1411,0,2022-11-06 15:25:30.645
29665000,0.0396,0,2022-11-06 15:25:30.645
29664000,0.1059,0,2022-11-06 15:25:30.645
29678000,0.0312,1,2022-11-06 15:25:30.645
29679000,0.0858,1,2022-11-06 15:25:30.645
29680000,0.7289,1,2022-11-06 15:25:30.645
29681000,0.0503,1,2022-11-06 15:25:30.645
29682000,0.4364,1,2022-11-06 15:25:30.645
29668000,0.1273,0,2022-11-06 15:25:31.749
29667000,0.0631,0,2022-11-06 15:25:31.749
29666000,0.1411,0,2022-11-06 15:25:31.749
29665000,0.0396,0,2022-11-06 15:25:31.749
29664000,0.1059,0,2022-11-06 15:25:31.749
29678000,0.0312,1,2022-11-06 15:25:31.749
29679000,0.0858,1,2022-11-06 15:25:31.749
29680000,0.7289,1,2022-11-06 15:25:31.749
29681000,0.0503,1,2022-11-06 15:25:31.749
29682000,0.4364,1,2022-11-06 15:25:31.749
29668000,0.1273,0,2022-11-06 15:25:32.608
29667000,0.0631,0,2022-11-06 15:25:32.608
29666000,0.1411,0,2022-11-06 15:25:32.608
29665000,0.0396,0,2022-11-06 15:25:32.608
29664000,0.1059,0,2022-11-06 15:25:32.608
29678000,0.0312,1,2022-11-06 15:25:32.608
29679000,0.0858,1,2022-11-06 15:25:32.608
29680000,0.7289,1,2022-11-06 15:25:32.608
29681000,0.0503,1,2022-11-06 15:25:32.608
29682000,0.4364,1,2022-11-06 15:25:32.608
29668000,0.1273,0,2022-11-06 15:25:33.647
29667000,0.0631,0,2022-11-06 15:25:33.647
29666000,0.1411,0,2022-11-06 15:25:33.647
29665000,0.0396,0,2022-11-06 15:25:33.647
29664000,0.1059,0,2022-11-06 15:25:33.647
29678000,0.0312,1,2022-11-06 15:25:33.647
29679000,0.0858,1,2022-11-06 15:25:33.647
29680000,0.7289,1,2022-11-06 15:25:33.647
29681000,0.0503,1,2022-11-06 15:25:33.647
29682000,0.4364,1,2022-11-06 15:25:33.647
29668000,0.1273,0,2022-11-06 15:25:34.745
29667000,0.0631,0,2022-11-06 15:25:34.745
29666000,0.1411,0,2022-11-06 15:25:34.745
29665000,0.0396,0,2022-11-06 15:25:34.745
29664000,0.1059,0,2022-11-06 15:25:34.745
29678000,0.0312,1,2022-11-06 15:25:34.745
29679000,0.0858,1,2022-11-06 15:25:34.745
29680000,0.0543,1,2022-11-06 15:25:34.745
